Customer Name,Phone Number,Talked,Internet,Start Subscription
Cynthia Wong MD,050-5380527,231,944,14/09/2022
Chad Reed,053-5250617,166,217,28/11/2022
James Murphy,051-7292166,483,437,06/04/2021
John Dean,054-2952436,435,817,06/01/2021
Nancy Bright,052-8402824,208,770,10/10/2022
Melinda Ruiz,051-3102790,434,903,23/02/2022
Kristin Huber,054-8068151,499,592,18/01/2023
Jesus Burke,052-8352627,48,467,19/10/2020
Joanna Buchanan,051-3167949,342,919,17/12/2023
Christian Lewis,052-3069795,277,740,11/04/2023
Amanda Meyer,050-8200916,355,390,03/02/2023
Aaron Melendez,050-8270179,553,871,29/01/2023
Sierra Morgan,054-6460585,590,614,17/04/2023
Timothy Frost,050-5915117,324,429,28/02/2020
Keith Lee,052-7653726,256,795,28/10/2022
Evelyn Elliott,051-6233404,369,705,17/10/2022
Chad Carter,053-9294578,25,350,06/10/2020
Matthew Mills,052-7974129,670,571,08/07/2022
Jeffrey Hicks,050-8469039,250,99,07/05/2022
Janice Palmer,051-8678768,472,105,04/10/2021
Diana Scott,051-8932363,134,519,26/04/2021
Lacey Henry,051-7222641,58,104,20/06/2023
Angela Waters,054-5779698,553,201,19/10/2020
Lisa Alvarado,052-1692691,162,389,28/07/2021
Jessica Pittman,053-9160566,170,899,23/03/2023
Ryan Aguirre,050-4964995,520,372,07/11/2023
Alison Moore,050-6467180,105,579,29/11/2020
Sarah Martin,051-6973566,24,91,12/04/2023
Gregory Stevens,052-7378700,30,858,09/08/2022
Jennifer Zavala,053-8258482,591,202,29/06/2020
Ryan Aguirre,050-4964995,520,372,07/11/2023
John Dean,054-2952436,435,817,06/01/2021
Evelyn Elliott,051-6233404,369,705,17/10/2022
Alison Moore,050-6467180,105,579,29/11/2020
Jessica Pittman,053-9160566,170,899,23/03/2023
